ht,en,pronunciation
Kouman ou ye?,How are you?,koo-mahn oo yeh
Sak pase?,What's up?,sak pah-say
"Mwen byen, mèsi.","I am well, thank you.","mwen byen, meh-see"
Pa gen pwoblèm.,No problem.,pah gehn pwoh-blem
"Bonswa, tout moun!","Good evening, everyone!","bon-swah, toot moon"
Bonjou!,Good morning / Hello!,bon-zhoo
N ap boule.,We are getting by / hanging in there.,nahp boo-lay
Ki jan yo rele ou?,What is your name?,kee-zhan yoh reh-leh oo
Yo rele m...,My name is...,yoh reh-leh m
Mwen kontan rankontre ou.,Nice to meet you.,mwen kon-tahn rahn-kon-treh oo
Silvouplè.,Please.,seel-voo-pleh
Mèsi anpil.,Thank you very much.,meh-see ahn-peel
Merite.,You're welcome.,meh-ree-teh
Eskize m.,Excuse me / Forgive me.,es-keez m
Orevwa!,Goodbye!,oh-reh-vwah
Na we pita.,See you later.,nah weh pee-tah
Mwen renmen ou.,I love you.,mwen rahn-mahn oo
Mwen grangou.,I am hungry.,mwen grahn-goo
Mwen swaf.,I am thirsty.,mwen swahf
Mwen fatige.,I am tired.,mwen fah-tee-geh
Mwen malad.,I am sick.,mwen mah-lahd
Ki kote twalèt la ye?,Where is the bathroom?,kee koh-teh twah-let lah yeh
Konbyen sa koute?,How much does this cost?,kon-byen sah koo-teh
Mwen pa konprann.,I don't understand.,mwen pah kon-prahn
"Tanpri, pale pi dousman.",Please speak slower.,"tahn-pree, pah-lay pee doos-mahn"
Èske ou pale Angle?,Do you speak English?,es-keh oo pah-lay ahn-gleh
Mwen konn pale yon ti kras Kreyòl.,I know how to speak a little Creole.,mwen kon pah-lay yon tee krahs kray-ol
Ki lè li ye?,What time is it?,kee leh lee yeh
Jodi a se yon bèl jou.,Today is a beautiful day.,zho-dee ah seh yon bel zhoo
Kote ou prale?,Where are you going?,koh-teh oo prah-lay
M pral lakay.,I am going home.,m prahl lah-kay
"Mwen bezwen èd, tanpri.","I need help, please.","mwen beh-zwehn ed, tahn-pree"
Konbyen moun ki la?,How many people are there?,kon-byen moon kee lah
Mwen renmen manje sa a.,I like this food.,mwen rahn-mahn mahn-zhe sah ah
Ki sa sa ye?,What is that?,kee sah sah yeh
Mwen pa konnen.,I don't know.,mwen pah kon-neh
Mwen sèten.,I am sure.,mwen seh-tehn
Se vre?,Is that true?,seh vray
Pa gen pwoblèm nan sa.,There is no problem with that.,pah gehn pwoh-blem nahn sah
Mwen dakò.,I agree.,mwen dah-kor
Mwen pa dakò.,I don't agree.,mwen pah dah-kor
Fè atansyon!,Be careful!,feh ah-tahn-syon
Rete la.,Stay there.,reh-teh lah
Vini non.,Come here.,vee-nee nohn
Tann mwen.,Wait for me.,tahn mwen
Mwen pare.,I am ready.,mwen pah-reh
Èske ou pare?,Are you ready?,es-keh oo pah-reh
Li twò chè.,It is too expensive.,lee ttwoh sheh
Mwen vle sa a.,I want this one.,mwen vleh sah ah
Mwen pa vle sa.,I don't want that.,mwen pah vleh sah
Bòn chans!,Good luck!,bon shahns
Bòn fèt!,Happy birthday / Happy holiday!,bon fet
Mwen manke ou.,I miss you.,mwen mahn-keh oo
Kisa ou ap fè?,What are you doing?,kee-sah wahp feh
M ap travay.,I am working.,mahp trah-vay
M ap aprann Kreyòl.,I am learning Creole.,mahp ah-prahn kray-ol
Li fasil.,It is easy.,lee fah-seel
Li difisil.,It is difficult.,lee dee-fee-seel
Mwen genyen li.,I have it.,mwen gehn-yehn lee
Mwen pa gen anyen.,I don't have anything.,mwen pah gehn ahn-yen
Kote ou rete?,Where do you live?,koh-teh oo reh-teh
Mwen rete nan Pòtoprens.,I live in Port-au-Prince.,mwen reh-teh nahn poh-toh-prehns
Ki laj ou?,How old are you?,kee lahzh oo
Mwen gen trant lanne.,I am thirty years old.,mwen gehn trahnt lah-neh
Èske ou gen frè ak sè?,Do you have brothers and sisters?,es-keh oo gehn freh ahk seh
Mwen gen de frè.,I have two brothers.,mwen gehn deh freh
Li fè cho jodi a.,It is hot today.,lee feh shoh zho-dee ah
Li fè frèt isit la.,It is cold here.,lee feh fret ee-seet lah
Plis oswa mwens.,More or less.,plees oh-swah mwehn
Tout bagay anfòm.,Everything is all right / good.,toot bah-gay ahn-fom
Sa fè lontan!,Long time no see!,sah feh lohn-tahn
Mwen ta renmen kafe.,I would like some coffee.,mwen tah rahn-mahn kah-feh
"Ban m dlo, tanpri.","Give me water, please.","bahn m dloh, tahn-pree"
Li trè enpòtan.,It is very important.,lee treh ehn-por-tahn
